"","Dim.1","Dim.2","Dim.3","Dim.4"
"at",2.31,1.08,6.16,2.73
"be",2.01,0.61,0.01,0.06
"cy",0.03,0.45,6.98,1.24
"cz",1.9,0.38,0.9,0.17
"de",1.58,1.94,6.84,0.22
"dk",6.97,2.72,3.65,3.21
"ee",8.26,4.33,2.43,4.03
"es",0.04,5.44,10.92,2.54
"fi",1.4,2.01,3.54,0
"fr",0.17,11.21,1.44,23.05
"gr",0.07,9.57,2.12,2.09
"hu",3.35,4.49,0.45,6.99
"ie",4.38,7.82,4.46,0.02
"it",0.03,8.53,4.34,6.34
"lt",14.39,4.11,0.95,2.63
"lu",11.62,19.74,0.51,0.81
"lv",15.84,5.03,0.02,11.72
"mt",0.04,0.69,9.87,12.89
"nl",5.04,1.28,4.43,1.39
"pl",5.96,2.25,0.01,11.67
"pt",1.06,2.07,1.66,0.02
"se",5.46,1.42,4.5,0.01
"si",0.2,0.14,0.01,0.43
"sk",6.26,1.93,20.26,4.51
"uk",1.62,0.75,3.54,1.25
