"","Dim.1","Dim.2","Dim.3","Dim.4"
"at",6.05,1.75,3.5,0.05
"be",2.91,0.73,0.04,0.57
"cy",0.02,0.47,3.41,6.93
"cz",0.05,20.3,0.45,1.62
"de",2.16,4.01,4.41,0.96
"dk",11.86,5.53,11.4,2.99
"ee",2.75,2.48,3.19,3.19
"es",2.22,1.37,10.98,1.04
"fi",5.32,0,1.18,1.71
"fr",2.16,0,0.65,3.98
"gr",3.22,0.82,15.9,0.25
"hu",1.28,0.27,6.71,0
"ie",1.49,12.89,0.81,17.77
"it",0.02,0.23,9.75,0.2
"lt",9.46,0.62,3.56,1.52
"lv",8.11,0.01,5.26,1.2
"mt",1.32,7.55,0.54,2.82
"nl",5.69,4.62,5.96,1.01
"pl",13.15,8.65,0.45,22.7
"pt",2.97,5.45,1.44,0.03
"se",11.66,0.18,2.88,6.89
"si",0.16,1.36,6.13,0.81
"sk",5.03,10.52,1.1,19.78
"uk",0.95,10.18,0.3,1.97
