"","Dim.1","Dim.2","Dim.3","Dim.4"
"at",2.2,0.57,-1.14,0.71
"be",2.05,0.43,-0.04,0.1
"cy",0.26,-0.37,1.21,-0.48
"cz",-2,-0.34,-0.43,-0.18
"de",1.82,0.77,-1.2,-0.2
"dk",3.82,-0.91,-0.88,-0.77
"ee",-4.16,-1.15,-0.71,0.86
"es",0.3,1.29,1.52,-0.68
"fi",1.71,0.78,-0.86,-0.01
"fr",0.59,1.85,0.55,2.05
"gr",-0.39,1.71,0.67,-0.62
"hu",-2.65,-1.17,-0.31,-1.13
"ie",3.03,-1.54,0.97,-0.06
"it",0.24,1.61,0.96,1.08
"lt",-5.49,-1.12,0.45,0.69
"lu",4.94,-2.45,0.33,0.38
"lv",-5.76,-1.24,0.06,1.46
"mt",0.3,-0.46,1.44,-1.53
"nl",3.25,-0.62,-0.96,0.5
"pl",-3.54,0.83,0.04,-1.46
"pt",-1.49,0.79,0.59,-0.06
"se",3.38,0.66,-0.97,0.04
"si",-0.65,-0.21,-0.05,-0.28
"sk",-3.62,0.77,-2.06,-0.91
"uk",1.84,-0.48,0.86,0.48
