"","Dim.1","Dim.2","Dim.3","Dim.4"
"at",2.57,-0.77,0.97,-0.11
"be",1.78,0.49,-0.11,0.36
"cy",-0.15,-0.4,-0.96,-1.23
"cz",-0.24,-2.61,-0.35,-0.6
"de",1.54,-1.16,1.09,0.46
"dk",3.6,1.36,-1.76,0.81
"ee",-1.73,-0.91,-0.93,-0.84
"es",-1.56,0.68,1.72,-0.48
"fi",2.41,0,-0.57,0.61
"fr",1.54,-0.03,0.42,0.93
"gr",-1.88,0.52,2.07,0.23
"hu",-1.18,0.3,-1.35,0
"ie",1.28,2.08,0.47,-1.97
"it",-0.15,0.28,1.62,-0.21
"lt",-3.22,0.46,-0.98,-0.58
"lv",-2.98,-0.06,-1.19,-0.51
"mt",-1.2,-1.59,-0.38,-0.79
"nl",2.49,-1.25,1.27,-0.47
"pl",-3.79,1.71,-0.35,2.23
"pt",-1.8,1.35,0.62,-0.09
"se",3.57,0.25,-0.88,1.23
"si",0.41,-0.68,-1.29,-0.42
"sk",-2.35,-1.88,0.54,2.08
"uk",1.02,1.85,0.28,-0.66
