"","benev","chom","depsoc","devel","heur","pib","satfam","satlogt","satnvie","spauvr","ssabri","vief","vieh"
"benev",1,-0.41,0.58,0.62,0.52,0.56,0.39,0.52,0.58,0.67,-0.56,0.4,0.43
"chom",-0.41,1,-0.19,-0.56,-0.57,-0.55,-0.4,-0.54,-0.61,-0.63,0.4,-0.35,-0.46
"depsoc",0.58,-0.19,1,0.7,0.49,0.36,0.47,0.39,0.49,0.61,-0.5,0.59,0.66
"devel",0.62,-0.56,0.7,1,0.76,0.69,0.67,0.61,0.74,0.88,-0.55,0.86,0.84
"heur",0.52,-0.57,0.49,0.76,1,0.64,0.61,0.8,0.88,0.81,-0.52,0.51,0.63
"pib",0.56,-0.55,0.36,0.69,0.64,1,0.54,0.7,0.8,0.87,-0.48,0.52,0.52
"satfam",0.39,-0.4,0.47,0.67,0.61,0.54,1,0.68,0.77,0.72,-0.64,0.6,0.77
"satlogt",0.52,-0.54,0.39,0.61,0.8,0.7,0.68,1,0.83,0.79,-0.59,0.49,0.65
"satnvie",0.58,-0.61,0.49,0.74,0.88,0.8,0.77,0.83,1,0.89,-0.63,0.52,0.68
"spauvr",0.67,-0.63,0.61,0.88,0.81,0.87,0.72,0.79,0.89,1,-0.54,0.7,0.76
"ssabri",-0.56,0.4,-0.5,-0.55,-0.52,-0.48,-0.64,-0.59,-0.63,-0.54,1,-0.4,-0.55
"vief",0.4,-0.35,0.59,0.86,0.51,0.52,0.6,0.49,0.52,0.7,-0.4,1,0.91
"vieh",0.43,-0.46,0.66,0.84,0.63,0.52,0.77,0.65,0.68,0.76,-0.55,0.91,1
