"","Dim.1","Dim.2","Dim.3","Dim.4"
"benev",0.688,-0.0388,-0.5956,0.2495
"chom",-0.636,0.4325,-0.1705,-0.2454
"depsoc",0.6691,0.5168,-0.3532,0.0764
"devel",0.9143,0.2305,0.0658,0.2109
"heur",0.8467,-0.2222,0.0541,-1e-04
"pib",0.8001,-0.3045,0.0237,0.2058
"satfam",0.8005,0.08,0.1641,-0.4432
"satlogt",0.8304,-0.3014,0.0592,-0.1975
"satnvie",0.9122,-0.2695,0.0167,-0.1137
"spauvr",0.9556,-0.0845,0.0379,0.1693
"ssabri",-0.6991,0.0165,0.3737,0.4565
"vief",0.7597,0.4921,0.2994,0.1512
"vieh",0.8549,0.3832,0.2509,-0.0835
