"","Dim.1","Dim.2","Dim.3","Dim.4"
"at",72.45,6.45,10.35,0.12
"be",67.84,5.21,0.26,2.69
"cy",0.38,2.88,16.64,27.46
"cz",0.71,84.67,1.52,4.4
"de",39.71,22.73,20.1,3.54
"dk",67.11,9.62,15.95,3.4
"ee",44.11,12.25,12.63,10.28
"es",35.64,6.79,43.62,3.35
"fi",81.12,0,4.46,5.22
"fr",60.02,0.02,4.43,22.19
"gr",39.9,3.12,48.66,0.61
"hu",23.48,1.54,30.54,0
"ie",12.49,33.13,1.68,29.81
"it",0.71,2.52,87.17,1.46
"lt",85.81,1.74,8,2.77
"lv",81.94,0.04,13.14,2.44
"mt",27.94,49.19,2.83,12
"nl",59.55,14.86,15.43,2.12
"pl",62.56,12.65,0.52,21.67
"pt",40.25,22.72,4.82,0.09
"se",83.32,0.4,5.09,9.88
"si",5.57,15,54.45,5.86
"sk",39.02,25.09,2.1,30.78
"uk",17.95,59.21,1.38,7.47
