benev chom depedu depsoc devel pib pvap pvav trvpv
at 60 4.7 5.45 29.1 0.944 128.8 12 24 6
be 37 8.1 5.99 29.3 0.945 112.3 15 28 3
cy 23 4.6 6.71 17.8 0.903 93.2 16 22 6
cz 33 7.7 4.42 19.6 0.885 79.4 10 21 3
de 52 9.1 4.60 29.5 0.932 113.6 13 24 4
dk 49 4.9 8.47 30.7 0.943 126.7 12 31 4
ee 38 8.6 5.09 13.4 0.858 67.9 18 24 6
es 18 10.2 4.25 20.0 0.938 102.4 20 24 10
fi 50 8.6 6.43 26.7 0.947 116.4 12 28 3
fr 36 9.3 5.81 31.2 0.942 112.8 13 26 5
gr 18 9.9 4.22 26.0 0.921 88.4 20 23 12
hu 17 6.4 5.43 20.7 0.869 65.3 13 29 8
ie 40 4.4 4.75 17.0 0.956 143.8 20 32 5
it 34 8.3 4.59 26.1 0.940 103.4 19 24 8
lt 11 10.4 5.20 13.3 0.857 57.7 21 26 8
lu 45 4.2 3.93 22.6 0.945 278.3 13 23 9
lv 20 9.9 5.08 12.6 0.845 55.8 19 26 8
mt 24 7.6 4.99 18.8 0.875 75.5 15 21 5
nl 55 3.9 5.18 28.5 0.947 132.2 11 22 6
pl 16 17.9 5.41 20.0 0.862 53.0 21 30 13
pt 12 6.6 5.31 24.9 0.904 74.5 20 26 12
se 53 6.3 7.35 32.9 0.951 120.3 9 29 4
si 35 7.6 5.96 17.2 0.910 88.8 12 26 4
sk 33 16.7 4.21 24.3 0.856 62.7 13 22 9
uk 28 4.9 5.29 26.3 0.940 119.1 18 31 6
